midi.octave,midi.note,name,frequency,cents
-5,0,C,8.175798916,"-6,900.00"
-5,1,C#,8.661957218,"-6,800.00"
-5,2,D,9.177023997,"-6,700.00"
-5,3,D#,9.722718241,"-6,600.00"
-5,4,E,10.30086115,"-6,500.00"
-5,5,F,10.91338223,"-6,400.00"
-5,6,F#,11.56232571,"-6,300.00"
-5,7,G,12.24985737,"-6,200.00"
-5,8,G#,12.9782718,"-6,100.00"
-5,9,A,13.75,"-6,000.00"
-5,10,A#,14.56761755,"-5,900.00"
-5,11,B,15.43385316,"-5,800.00"
-4,12,C,16.35159783,"-5,700.00"
-4,13,C#,17.32391444,"-5,600.00"
-4,14,D,18.35404799,"-5,500.00"
-4,15,D#,19.44543648,"-5,400.00"
-4,16,E,20.60172231,"-5,300.00"
-4,17,F,21.82676446,"-5,200.00"
-4,18,F#,23.12465142,"-5,100.00"
-4,19,G,24.49971475,"-5,000.00"
-4,20,G#,25.9565436,"-4,900.00"
-4,21,A,27.5,"-4,800.00"
-4,22,A#,29.13523509,"-4,700.00"
-4,23,B,30.86770633,"-4,600.00"
-3,24,C,32.70319566,"-4,500.00"
-3,25,C#,34.64782887,"-4,400.00"
-3,26,D,36.70809599,"-4,300.00"
-3,27,D#,38.89087297,"-4,200.00"
-3,28,E,41.20344461,"-4,100.00"
-3,29,F,43.65352893,"-4,000.00"
-3,30,F#,46.24930284,"-3,900.00"
-3,31,G,48.9994295,"-3,800.00"
-3,32,G#,51.9130872,"-3,700.00"
-3,33,A,55,"-3,600.00"
-3,34,A#,58.27047019,"-3,500.00"
-3,35,B,61.73541266,"-3,400.00"
-2,36,C,65.40639133,"-3,300.00"
-2,37,C#,69.29565774,"-3,200.00"
-2,38,D,73.41619198,"-3,100.00"
-2,39,D#,77.78174593,"-3,000.00"
-2,40,E,82.40688923,"-2,900.00"
-2,41,F,87.30705786,"-2,800.00"
-2,42,F#,92.49860568,"-2,700.00"
-2,43,G,97.998859,"-2,600.00"
-2,44,G#,103.8261744,"-2,500.00"
-2,45,A,110,"-2,400.00"
-2,46,A#,116.5409404,"-2,300.00"
-2,47,B,123.4708253,"-2,200.00"
-1,48,C,130.8127827,"-2,100.00"
-1,49,C#,138.5913155,"-2,000.00"
-1,50,D,146.832384,"-1,900.00"
-1,51,D#,155.5634919,"-1,800.00"
-1,52,E,164.8137785,"-1,700.00"
-1,53,F,174.6141157,"-1,600.00"
-1,54,F#,184.9972114,"-1,500.00"
-1,55,G,195.997718,"-1,400.00"
-1,56,G#,207.6523488,"-1,300.00"
-1,57,A,220,"-1,200.00"
-1,58,A#,233.0818808,"-1,100.00"
-1,59,B,246.9416506,"-1,000.00"
0,60,C,261.6255653,-900
0,61,C#,277.182631,-800
0,62,D,293.6647679,-700
0,63,D#,311.1269837,-600
0,64,E,329.6275569,-500
0,65,F,349.2282314,-400
0,66,F#,369.9944227,-300
0,67,G,391.995436,-200
0,68,G#,415.3046976,-100
0,69,A,440,0
0,70,A#,466.1637615,100
0,71,B,493.8833013,200
1,72,C,523.2511306,300
1,73,C#,554.365262,400
1,74,D,587.3295358,500
1,75,D#,622.2539674,600
1,76,E,659.2551138,700
1,77,F,698.4564629,800
1,78,F#,739.9888454,900
1,79,G,783.990872,"1,000.00"
1,80,G#,830.6093952,"1,100.00"
1,81,A,880,"1,200.00"
1,82,A#,932.327523,"1,300.00"
1,83,B,987.7666025,"1,400.00"
2,84,C,"1,046.50","1,500.00"
2,85,C#,"1,108.73","1,600.00"
2,86,D,"1,174.66","1,700.00"
2,87,D#,"1,244.51","1,800.00"
2,88,E,"1,318.51","1,900.00"
2,89,F,"1,396.91","2,000.00"
2,90,F#,"1,479.98","2,100.00"
2,91,G,"1,567.98","2,200.00"
2,92,G#,"1,661.22","2,300.00"
2,93,A,"1,760.00","2,400.00"
2,94,A#,"1,864.66","2,500.00"
2,95,B,"1,975.53","2,600.00"
3,96,C,"2,093.00","2,700.00"
3,97,C#,"2,217.46","2,800.00"
3,98,D,"2,349.32","2,900.00"
3,99,D#,"2,489.02","3,000.00"
3,100,E,"2,637.02","3,100.00"
3,101,F,"2,793.83","3,200.00"
3,102,F#,"2,959.96","3,300.00"
3,103,G,"3,135.96","3,400.00"
3,104,G#,"3,322.44","3,500.00"
3,105,A,"3,520.00","3,600.00"
3,106,A#,"3,729.31","3,700.00"
3,107,B,"3,951.07","3,800.00"
4,108,C,"4,186.01","3,900.00"
4,109,C#,"4,434.92","4,000.00"
4,110,D,"4,698.64","4,100.00"
4,111,D#,"4,978.03","4,200.00"
4,112,E,"5,274.04","4,300.00"
4,113,F,"5,587.65","4,400.00"
4,114,F#,"5,919.91","4,500.00"
4,115,G,"6,271.93","4,600.00"
4,116,G#,"6,644.88","4,700.00"
4,117,A,"7,040.00","4,800.00"
4,118,A#,"7,458.62","4,900.00"
4,119,B,"7,902.13","5,000.00"
5,120,C,"8,372.02","5,100.00"
5,121,C#,"8,869.84","5,200.00"
5,122,D,"9,397.27","5,300.00"
5,123,D#,"9,956.06","5,400.00"
5,124,E,"10,548.08","5,500.00"
5,125,F,"11,175.30","5,600.00"
5,126,F#,"11,839.82","5,700.00"
5,127,G,"12,543.85","5,800.00"
